Node_ID	Betweenness_Centrality
798	49937.769531
4699	49918.339844
3743	49907.421875
3598	49822.101562
11600	49717.019531
7237	49672.171875
356	49643.253906
3448	49585.585938
1968	49489.566406
7521	49454.031250
2256	49424.781250
2	49394.699219
2455	49285.289062
526	49240.652344
1871	49196.542969
3589	49188.980469
5742	49175.160156
2320	49042.023438
9298	48957.183594
4777	48918.710938
1503	48856.574219
362	48829.343750
512	48824.996094
4440	48794.015625
670	48600.773438
151	48590.535156
3789	48588.574219
678	48562.222656
10337	48532.816406
1103	48492.437500
2969	48374.964844
1554	48348.164062
9312	48316.882812
10369	48213.804688
2652	48204.035156
836	48132.730469
10987	48105.929688
2169	48070.414062
2448	47894.906250
3209	47878.101562
8019	47814.894531
7103	47776.390625
3581	47743.699219
8810	47721.289062
5369	47701.386719
3312	47600.683594
6920	47591.609375
5473	47343.636719
174	47296.070312
4852	47292.902344
5643	47228.703125
8512	47211.882812
1245	47174.765625
5412	47042.984375
1180	47038.378906
12060	47009.132812
1291	47006.324219
358	46985.929688
3387	46961.617188
2921	46884.378906
7316	46873.527344
1374	46865.886719
1618	46849.117188
9864	46842.960938
3057	46525.625000
1658	46483.738281
3794	46477.761719
2209	46419.625000
10300	46417.234375
2749	46376.242188
11023	46337.359375
5373	46316.980469
8952	46284.468750
6968	46278.039062
8081	46225.128906
1247	46208.042969
2076	46197.746094
709	46181.601562
11714	46172.500000
3863	46133.933594
2014	46042.839844
769	45935.953125
1773	45929.078125
6036	45905.023438
4705	45797.144531
8951	45783.257812
5859	45782.941406
1440	45777.804688
587	45748.316406
2426	45709.304688
606	45663.621094
3868	45506.031250
1762	45495.558594
6784	45329.699219
3078	45288.726562
2606	45273.464844
2060	45199.449219
559	45137.316406
4817	45125.421875
1745	45121.144531
5527	45078.515625
11016	45067.367188
4678	45039.031250
1834	44944.789062
989	44898.398438
4626	44892.910156
7410	44846.445312
1767	44836.367188
1224	44820.105469
1402	44814.554688
3821	44755.500000
5319	44708.695312
10381	44694.339844
2325	44672.871094
1244	44597.593750
423	44511.804688
9685	44496.964844
237	44494.589844
8619	44411.285156
100	44313.992188
978	44309.058594
6085	44255.738281
6681	44245.121094
286	44238.957031
2724	44200.949219
1169	44195.371094
534	44056.917969
10295	44043.589844
4865	44043.460938
1933	44030.007812
1063	43978.304688
7861	43928.398438
11126	43891.738281
3250	43880.878906
9236	43869.554688
3691	43843.441406
3218	43779.820312
311	43687.945312
10349	43656.062500
1093	43643.539062
2172	43613.796875
1394	43538.335938
11736	43520.824219
8517	43516.832031
1054	43504.617188
6080	43444.195312
932	43405.359375
6980	43390.835938
1801	43383.535156
7656	43367.816406
9088	43364.281250
10052	43291.316406
6054	43224.519531
6261	43206.300781
1487	43138.125000
6872	43096.273438
572	43037.929688
303	42998.820312
7589	42976.097656
9894	42941.707031
2345	42934.613281
10223	42911.687500
3032	42885.187500
4732	42802.542969
7304	42799.558594
9931	42792.132812
1028	42789.156250
5676	42789.003906
2360	42749.816406
3079	42693.640625
8571	42682.859375
950	42672.187500
7777	42636.359375
79	42632.441406
271	42622.375000
2096	42592.921875
1399	42558.789062
6253	42501.167969
6010	42486.949219
5540	42386.933594
8387	42339.945312
2791	42321.007812
72	42317.566406
3255	42311.718750
9003	42277.925781
2480	42256.968750
4044	42108.222656
3968	42091.601562
11764	41970.582031
1529	41892.449219
327	41825.632812
1445	41816.726562
8509	41805.363281
60	41784.601562
8873	41707.804688
1349	41705.105469
8217	41702.792969
2210	41695.554688
